"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","id","w","s","true_theta"
NA,0.859317381012073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956533255551943,1,NA,NA,NA,NA,NA,NA,NA,1,0.855026775762569,NA,NA,NA,NA,0.922335498232781,NA,NA,NA,NA,0.962562756548972,NA,0.879137520956363,0.937584409626786,NA,NA,NA,NA,NA,NA,NA,NA,0.861871396207157,NA,NA,1,-1.83155009048537,-0.92328741181637,-0.242853293767687
NA,NA,NA,NA,NA,NA,NA,NA,0.937592918091974,NA,NA,NA,0,NA,NA,NA,0.985592985773379,0.990053260667802,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,0.852297420180844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-0.999360162986819,-1.36907089024012,0.698323488801252
NA,NA,NA,NA,NA,0.928796067934068,NA,NA,NA,NA,NA,0.988820403074945,0.976740559896261,NA,NA,NA,NA,NA,NA,NA,NA,0.86101466684876,NA,0.900146078455122,NA,NA,NA,NA,0.757983089660646,NA,NA,0.983816767712289,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1.24797312520865,0.0764548730151858,0.548177148106027
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.907260744122723,0.918616276565681,NA,0,NA,0.813540125809101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824558587187997,NA,NA,0.386202805175575,NA,NA,NA,NA,0,4,0.315347978989546,-1.58478409864905,-0.363924428355644
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.994908674556185,NA,NA,1,NA,0.977901974463519,NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0.988354885020927,NA,NA,NA,5,-0.838042755066759,-0.19712471379125,1.16482614654235
NA,NA,NA,0.743615874597212,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245346804756898,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.796745815257273,0,0.687325516365447,NA,NA,6,-1.5672813005218,-3.00805624410895,-2.0069781194063
NA,NA,NA,NA,1,NA,NA,0.896334119230254,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.83957843769285,NA,1,NA,NA,NA,0.706595932930149,NA,NA,NA,NA,0,NA,NA,0.960783634854562,NA,0.885744288201319,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,-1.30321929566195,-1.28666714703048,-0.691309307367793
0.992078667252769,NA,NA,NA,NA,NA,NA,NA,0.82245384988986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,8,-0.229640754067242,1.02062579526209,1.11117340574849
NA,0.919735618352577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.926275812529515,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.995117220806569,0,NA,1,NA,NA,0.993828475497482,NA,NA,NA,0.843179651730637,NA,0,9,0.582942922949411,0.511807153070569,0.398792753190711
NA,0.917266917149455,NA,NA,NA,0.996049162899157,NA,NA,NA,NA,NA,0,NA,0.877042278284125,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811158834410175,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,10,-0.213936093964671,1.67070486050013,0.845226804512108
