"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","id","w","s","true_theta"
NA,0.891388030509977,NA,NA,0.787812552137112,NA,NA,NA,NA,NA,NA,0.895736641775419,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.909462548456648,NA,NA,NA,NA,0.914249811745325,NA,0,0,1,-1.83155009048537,-0.92328741181637,-0.242853293767687
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0.934215286579884,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.986170487994434,NA,NA,NA,0.930414172246228,NA,NA,NA,2,-0.999360162986819,-1.36907089024012,0.698323488801252
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0.962757471086037,NA,NA,NA,0.955465238317566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.966747562746462,NA,NA,1,1,NA,1,NA,3,1.24797312520865,0.0764548730151858,0.548177148106027
0,0,0.923177771296615,NA,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.702861059376289,NA,NA,NA,0.92668402775063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.900244513002963,NA,1,NA,NA,4,0.315347978989546,-1.58478409864905,-0.363924428355644
NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.991805507790095,0.951744474301079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864236377642616,NA,NA,NA,NA,NA,0,NA,NA,1,0.93187836738041,NA,1,NA,NA,NA,NA,NA,0,NA,0.989326369386474,NA,NA,NA,NA,NA,NA,5,-0.838042755066759,-0.19712471379125,1.16482614654235
NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.665008740212111,NA,NA,NA,NA,NA,NA,0.781685973977096,NA,NA,NA,NA,NA,NA,NA,NA,0,0.584796838221933,NA,0.417757742593512,NA,NA,NA,NA,0.739148362112648,NA,NA,NA,NA,NA,NA,0,6,-1.5672813005218,-3.00805624410895,-2.0069781194063
NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0.940624366175732,0.933310428516126,NA,0,NA,0,NA,NA,NA,NA,0.814290627614789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-1.30321929566195,-1.28666714703048,-0.691309307367793
NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,0.960017977837679,NA,1,1,0.904030680357174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952167859271382,NA,NA,NA,NA,NA,0.968523540018655,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-0.229640754067242,1.02062579526209,1.11117340574849
NA,NA,1,NA,NA,0.966216292602863,0.921843559372264,NA,NA,NA,1,1,NA,0.906196877902861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.848354667763893,0.86676520108436,NA,NA,NA,NA,0.880327032283187,NA,NA,NA,9,0.582942922949411,0.511807153070569,0.398792753190711
1,0.842039320561023,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0.939533195213864,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.504510133501893,NA,NA,1,NA,NA,0,10,-0.213936093964671,1.67070486050013,0.845226804512108
0.963892856526416,NA,NA,NA,NA,1,NA,NA,0.918201705355709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.929533017938159,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.925624178294376,NA,NA,NA,NA,0.864294861845476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,0.697746896893513,0.660972698882363,0.305028688566385
