"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","id","w","s","true_theta"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.891281158530998,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.792784110822501,NA,NA,NA,NA,0,NA,NA,0.915121401971701,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.71313447421078,NA,NA,NA,NA,0.69793586427742,1,1,-1.83155009048537,-0.92328741181637,-0.242853293767687
NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,0.934196087288673,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,0.982388075833021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,-0.999360162986819,-1.36907089024012,0.698323488801252
NA,NA,1,NA,NA,0.946175440408996,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0.895395418786217,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.977776796033352,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1.24797312520865,0.0764548730151858,0.548177148106027
NA,NA,NA,NA,NA,NA,NA,1,0.640057801654731,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0.874679764344772,NA,NA,NA,0.816229331447271,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.957091513420611,NA,NA,4,0.315347978989546,-1.58478409864905,-0.363924428355644
0.977042454942233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,0.970918353096249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.978849525489161,NA,NA,NA,1,NA,0.972438435932261,NA,NA,0,5,-0.838042755066759,-0.19712471379125,1.16482614654235
0.638098996265468,NA,NA,0.203823796107074,NA,NA,NA,0,NA,NA,0.802060905055174,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.836431634329453,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,-1.5672813005218,-3.00805624410895,-2.0069781194063
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0.534195097330066,1,NA,NA,NA,NA,0.961566136286645,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.76574728576208,0,7,-1.30321929566195,-1.28666714703048,-0.691309307367793
NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.98042171890066,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97429381343306,NA,0.950746143519498,NA,8,-0.229640754067242,1.02062579526209,1.11117340574849
NA,0.930597840472546,0.96263980945912,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.898417448325665,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907723488142377,NA,NA,NA,NA,NA,1,NA,0.953243971006566,NA,NA,NA,NA,NA,NA,NA,9,0.582942922949411,0.511807153070569,0.398792753190711
NA,NA,NA,NA,NA,1,NA,0.975848279574436,NA,NA,NA,NA,NA,NA,NA,NA,0.951791750817036,NA,NA,NA,1,0.97520591272338,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0.82266880360072,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,10,-0.213936093964671,1.67070486050013,0.845226804512108
